,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOAO PAULO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANILHA IMPORTAÇAO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DI 17/1660795-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESSO Nº,,,,$ CAMBIO,"3,1674000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embarque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,PREÇO UNITÁRIO EM MOEDA ESTRANGEIRA,QTDE,,VALOR ADUANEIRO       EM MOEDA EXTRANG,VALOR  ADUANEIRO  (VA )            EM REAIS,DESPESAS ADUANEIRAS (D),BC II,% II  (a),VALOR II,BC IPI,% IPI  (b),VALOR IPI,BC PIS COFINS,% PIS    ( c ),VALOR PIS,%COFINS  (d),COFINS,BC ICMS FINAL,% ICMS  (e),VALOR ICMS,VALOR UNITARIO REAL,VALOR TOTAL PRODUTO,% RATEIO DESPESAS ACESSÓRIAS,DESPESAS ACESSORIAS,TOTAL DESPESAS ACESSÓRIAS (IMPOSTOS),TOTAL DESPESAS SEM FRETE,TOTAL FRETE, ICMS FINAL,CLASSIFICAÇÃO FISCAL,MVA,BC ICMS st,Aliquota ICMS,valor ICMS ST,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OBL-12-01-01 - ACABAMENTO AUTOMOTIVO DA GRADE DIANTEIRA, LADO ESQUERDO E DIREITO EM PLASTICO ABS CROMADO COMPATIVEL COM AUTOMOVEL BMW X1 MOD ANO 2010. (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)","5,0000","5,0000",1,=B11*C11,=E11*$F$6,"=(1668,46*F11/($F$40))",=F11+G11,"18,00%",=(F11+G11)*I11,=F11+G11+J11,"5,00%",=(F11+G11+J11)*L11,=F11+G11,"2,10%",=O11*(F11+G11),"10,65%",=Q11*(F11+G11),"=((W11+Y11+R11+P11+M11+J11+G11)/0,82)","18,00%","=((F11+G11+J11+M11+P11+R11+Y11)/0,82)*T11",=W11/C11,=F11,=W11*100/$W$40,=$O$49*X11%,=G11+P11+R11+U11+Y11,=Z11-G11,=Z11-AA11,=S11*18%,,"0,00%","0,00",0%,"0,00",1
"OBL-16-08-26 - ACABAMENTO AUTOMOTIVO EM PLASTICO ABS CROMADO DO PARA-CHOQUE TRASEIRO TIPO FRISO BUMPER PARA O AUTOMOVEL CIVIC 16. (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID).","4,5000","10,0000",2,=B12*C12,=E12*$F$6,"=(1668,46*F12/($F$40))",=F12+G12,"18,00%",=(F12+G12)*I12,=F12+G12+J12,"5,00%",=(F12+G12+J12)*L12,=F12+G12,"2,10%",=O12*(F12+G12),"10,65%",=Q12*(F12+G12),"=((W12+Y12+R12+P12+M12+J12+G12)/0,82)","18,00%","=((F12+G12+J12+M12+P12+R12+Y12)/0,82)*T12",=W12/C12,=F12,=W12*100/$W$40,=$O$49*X12%,=G12+P12+R12+U12+Y12,=Z12-G12,=Z12-AA12,=S12*18%,,,,,,2
"OBL-16-08-09 - ACABAMENTO AUTOMOTIVO DA GRADE DE BAIXO DO PARACHOQUE DIANTEIRO TIPO FRISO, 2 PECAS UMA DE CIMA E OUTRA DE BAIXO, EM PLASTICO ABS CROMADO COMPATIVEL COM AUTOMOVEL? HONDA CIVIC 2016. (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)?","4,5000","3,0000",3,=B13*C13,=E13*$F$6,"=(1668,46*F13/($F$40))",=F13+G13,"18,00%",=(F13+G13)*I13,=F13+G13+J13,"5,00%",=(F13+G13+J13)*L13,=F13+G13,"2,10%",=O13*(F13+G13),"10,65%",=Q13*(F13+G13),"=((W13+Y13+R13+P13+M13+J13+G13)/0,82)","18,00%","=((F13+G13+J13+M13+P13+R13+Y13)/0,82)*T13",=W13/C13,=F13,=W13*100/$W$40,=$O$49*X13%,=G13+P13+R13+U13+Y13,=Z13-G13,=Z13-AA13,=S13*18%,,,,,,3
"OBL-14-26-31 - SOLEIRA AUTOMOTIVA DAS PORTAS, PARTE ACESSORIA DE AUTOMOVEL, PARA HRV? (CONJUNTO: 4 PECAS) . ( 3? QUALIDADE SEM ACABAMENTO/POLIMENTO NA PARTE TRASEIRA DAS PECAS,MATERIAL: PLASTICO ABS E ACO INOX)??","7,5000","20,0000",4,=B14*C14,=E14*$F$6,"=(1668,46*F14/($F$40))",=F14+G14,"18,00%",=(F14+G14)*I14,=F14+G14+J14,"5,00%",=(F14+G14+J14)*L14,=F14+G14,"2,10%",=O14*(F14+G14),"10,65%",=Q14*(F14+G14),"=((W14+Y14+R14+P14+M14+J14+G14)/0,82)","18,00%","=((F14+G14+J14+M14+P14+R14+Y14)/0,82)*T14",=W14/C14,=F14,=W14*100/$W$40,=$O$49*X14%,=G14+P14+R14+U14+Y14,=Z14-G14,=Z14-AA14,=S14*18%,,,,,,4
"OBL-16-37-25 - ACABAMENTO AUTOMOTIVO EM PLASTICO ABS CROMADO, CENTRAL,? DO PARA-CHOQUE DIANTEIRO PARA O AUTOMOVEL? COMPASS.? (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)?","4,4000","5,0000",5,=B15*C15,=E15*$F$6,"=(1668,46*F15/($F$40))",=F15+G15,"18,00%",=(F15+G15)*I15,=F15+G15+J15,"5,00%",=(F15+G15+J15)*L15,=F15+G15,"2,10%",=O15*(F15+G15),"10,65%",=Q15*(F15+G15),"=((W15+Y15+R15+P15+M15+J15+G15)/0,82)","18,00%","=((F15+G15+J15+M15+P15+R15+Y15)/0,82)*T15",=W15/C15,=F15,=W15*100/$W$40,=$O$49*X15%,=G15+P15+R15+U15+Y15,=Z15-G15,=Z15-AA15,=S15*18%,,,,,,5
"OBL-16-37-19 - ACABAMENTO AUTOMOTIVO TIPO MOLDURA EM VOLTA DO PORTA COPOS NO CONSOLE CENTRAL, EM PLASTICO ABS COMPATIVEL COM AUTOMOVEL JEEP COMPASS.? (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)?","3,1500","15,0000",6,=B16*C16,=E16*$F$6,"=(1668,46*F16/($F$40))",=F16+G16,"18,00%",=(F16+G16)*I16,=F16+G16+J16,"5,00%",=(F16+G16+J16)*L16,=F16+G16,"2,10%",=O16*(F16+G16),"10,65%",=Q16*(F16+G16),"=((W16+Y16+R16+P16+M16+J16+G16)/0,82)","18,00%","=((F16+G16+J16+M16+P16+R16+Y16)/0,82)*T16",=W16/C16,=F16,=W16*100/$W$40,=$O$49*X16%,=G16+P16+R16+U16+Y16,=Z16-G16,=Z16-AA16,=S16*18%,,,,,,6
"OBL-14-23-07 - ACABAMENTO AUTOMOTIVO TIPO MOLDURA PARA AS MACANETAS EXTERNAS, DIANTEIRAS E TRASEIRAS, CONJUNTO DE 8 PCS, EM PLASTICO ABS CROMADO, COMPATIVEL COM O AUTOMOVEL HYUNDAI CRETA. (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)","1,6000","20,0000",7,=B17*C17,=E17*$F$6,"=(1668,46*F17/($F$40))",=F17+G17,"18,00%",=(F17+G17)*I17,=F17+G17+J17,"5,00%",=(F17+G17+J17)*L17,=F17+G17,"2,10%",=O17*(F17+G17),"10,65%",=Q17*(F17+G17),"=((W17+Y17+R17+P17+M17+J17+G17)/0,82)","18,00%","=((F17+G17+J17+M17+P17+R17+Y17)/0,82)*T17",=W17/C17,=F17,=W17*100/$W$40,=$O$49*X17%,=G17+P17+R17+U17+Y17,=Z17-G17,=Z17-AA17,=S17*18%,,,,,,7
"OBL-14-23-006 - ACABAMENTO AUTOMOTIVO EM ACO INOX TIPO FRISO DAS JANELAS COMPATIVEL COM? AUTMOVEL HYUNDAI CRETA,CONJUNTO? DE 6 PECAS. (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)?","5,0000","5,0000",8,=B18*C18,=E18*$F$6,"=(1668,46*F18/($F$40))",=F18+G18,"18,00%",=(F18+G18)*I18,=F18+G18+J18,"5,00%",=(F18+G18+J18)*L18,=F18+G18,"2,10%",=O18*(F18+G18),"10,65%",=Q18*(F18+G18),"=((W18+Y18+R18+P18+M18+J18+G18)/0,82)","18,00%","=((F18+G18+J18+M18+P18+R18+Y18)/0,82)*T18",=W18/C18,=F18,=W18*100/$W$40,=$O$49*X18%,=G18+P18+R18+U18+Y18,=Z18-G18,=Z18-AA18,=S18*18%,,,,,,8
"OBL-16-13-19A - ACABAMENTO AUTOMOTIVO TIPO MOLDURA EM VOLTA DAS MACANETAS INTERNAS, EM PLASTICO ABS? (CONJUNTO DE 4 PECAS,UMA PARA CADA PORTA ) COMPATIVEL COM AUTOMOVEL JEEP? RENEGADE.? (SEM PINTURA E POLIMENTO NA PARTE TRASEIRA DAS PECAS, 3 QUALID.)? ","2,4000","5,0000",9,=B19*C19,=E19*$F$6,"=(1668,46*F19/($F$40))",=F19+G19,"18,00%",=(F19+G19)*I19,=F19+G19+J19,"5,00%",=(F19+G19+J19)*L19,=F19+G19,"2,10%",=O19*(F19+G19),"10,65%",=Q19*(F19+G19),"=((W19+Y19+R19+P19+M19+J19+G19)/0,82)","18,00%","=((F19+G19+J19+M19+P19+R19+Y19)/0,82)*T19",=W19/C19,=F19,=W19*100/$W$40,=$O$49*X19%,=G19+P19+R19+U19+Y19,=Z19-G19,=Z19-AA19,=S19*18%,,,,,,9
